Sun Nov 14 20:23:44 EST 2021 | tT(mins):  11.734 |  f: 0 | RT(s):   7.542 | aRT(s):   6.519  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:23:50 EST 2021 | tT(mins):  11.847 |  f: 0 | RT(s):   6.704 | aRT(s):   6.521  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:23:58 EST 2021 | tT(mins):  11.966 |  f: 0 | RT(s):   7.97  | aRT(s):   6.527  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:24:01 EST 2021 | tT(mins):  12.31  |  f: 0 | RT(s):   3.821 | aRT(s):   6.503  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:24:09 EST 2021 | tT(mins):  12.158 |  f: 0 | RT(s):   7.543 | aRT(s):   6.513  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:24:14 EST 2021 | tT(mins):  12.243 |  f: 0 | RT(s):   5.61  | aRT(s):   6.501  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:24:17 EST 2021 | tT(mins):  12.292 |  f: 0 | RT(s):   2.880 | aRT(s):   6.469  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:24:20 EST 2021 | tT(mins):  12.347 |  f: 0 | RT(s):   3.238 | aRT(s):   6.442  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:24:29 EST 2021 | tT(mins):  12.494 |  f: 0 | RT(s):   8.700 | aRT(s):   6.462  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:24:39 EST 2021 | tT(mins):  12.656 |  f: 0 | RT(s):   9.678 | aRT(s):   6.490  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:24:44 EST 2021 | tT(mins):  12.737 |  f: 0 | RT(s):   4.771 | aRT(s):   6.476  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:24:49 EST 2021 | tT(mins):  12.823 |  f: 0 | RT(s):   5.122 | aRT(s):   6.465  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:24:52 EST 2021 | tT(mins):  12.879 |  f: 0 | RT(s):   3.288 | aRT(s):   6.439  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:25:01 EST 2021 | tT(mins):  13.26  |  f: 0 | RT(s):   8.761 | aRT(s):   6.459  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:25:04 EST 2021 | tT(mins):  13.71  |  f: 0 | RT(s):   2.638 | aRT(s):   6.428  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:25:12 EST 2021 | tT(mins):  13.207 |  f: 0 | RT(s):   8.53  | aRT(s):   6.442  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:25:19 EST 2021 | tT(mins):  13.318 |  f: 0 | RT(s):   6.591 | aRT(s):   6.444  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:25:26 EST 2021 | tT(mins):  13.438 |  f: 0 | RT(s):   7.144 | aRT(s):   6.450  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:25:34 EST 2021 | tT(mins):  13.570 |  f: 0 | RT(s):   7.857 | aRT(s):   6.462  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:25:39 EST 2021 | tT(mins):  13.658 |  f: 0 | RT(s):   5.226 | aRT(s):   6.452  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:25:48 EST 2021 | tT(mins):  13.805 |  f: 0 | RT(s):   8.743 | aRT(s):   6.471  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:25:53 EST 2021 | tT(mins):  13.886 |  f: 0 | RT(s):   4.800 | aRT(s):   6.458  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:25:58 EST 2021 | tT(mins):  13.979 |  f: 0 | RT(s):   5.498 | aRT(s):   6.452  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:26:03 EST 2021 | tT(mins):  14.59  |  f: 0 | RT(s):   4.748 | aRT(s):   6.439  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:26:10 EST 2021 | tT(mins):  14.174 |  f: 0 | RT(s):   6.850 | aRT(s):   6.443  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:26:15 EST 2021 | tT(mins):  14.259 |  f: 0 | RT(s):   5.37  | aRT(s):   6.433  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:26:20 EST 2021 | tT(mins):  14.337 |  f: 0 | RT(s):   4.580 | aRT(s):   6.419  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:26:25 EST 2021 | tT(mins):  14.418 |  f: 0 | RT(s):   4.777 | aRT(s):   6.408  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:26:33 EST 2021 | tT(mins):  14.549 |  f: 0 | RT(s):   7.807 | aRT(s):   6.418  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:26:38 EST 2021 | tT(mins):  14.636 |  f: 0 | RT(s):   5.174 | aRT(s):   6.410  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:26:45 EST 2021 | tT(mins):  14.759 |  f: 0 | RT(s):   7.321 | aRT(s):   6.417  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:26:52 EST 2021 | tT(mins):  14.877 |  f: 0 | RT(s):   6.995 | aRT(s):   6.421  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:27:02 EST 2021 | tT(mins):  15.40  |  f: 0 | RT(s):   9.712 | aRT(s):   6.445  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:27:16 EST 2021 | tT(mins):  15.266 |  f: 0 | RT(s):  13.470 | aRT(s):   6.496  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:27:21 EST 2021 | tT(mins):  15.362 |  f: 0 | RT(s):   5.697 | aRT(s):   6.491  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:27:26 EST 2021 | tT(mins):  15.441 |  f: 0 | RT(s):   4.668 | aRT(s):   6.478  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:27:31 EST 2021 | tT(mins):  15.523 |  f: 0 | RT(s):   4.879 | aRT(s):   6.468  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:27:39 EST 2021 | tT(mins):  15.655 |  f: 0 | RT(s):   7.832 | aRT(s):   6.478  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:27:42 EST 2021 | tT(mins):  15.711 |  f: 0 | RT(s):   3.323 | aRT(s):   6.456  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:27:47 EST 2021 | tT(mins):  15.795 |  f: 0 | RT(s):   4.961 | aRT(s):   6.447  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:27:57 EST 2021 | tT(mins):  15.952 |  f: 0 | RT(s):   9.332 | aRT(s):   6.467  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:28:02 EST 2021 | tT(mins):  16.40  |  f: 0 | RT(s):   5.218 | aRT(s):   6.459  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:28:08 EST 2021 | tT(mins):  16.135 |  f: 0 | RT(s):   5.636 | aRT(s):   6.454  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:28:12 EST 2021 | tT(mins):  16.215 |  f: 0 | RT(s):   4.756 | aRT(s):   6.443  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:28:18 EST 2021 | tT(mins):  16.299 |  f: 0 | RT(s):   4.981 | aRT(s):   6.434  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:28:27 EST 2021 | tT(mins):  16.459 |  f: 0 | RT(s):   9.507 | aRT(s):   6.454  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:28:37 EST 2021 | tT(mins):  16.616 |  f: 0 | RT(s):   9.347 | aRT(s):   6.473  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:28:43 EST 2021 | tT(mins):  16.729 |  f: 0 | RT(s):   6.751 | aRT(s):   6.476  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:28:51 EST 2021 | tT(mins):  16.856 |  f: 0 | RT(s):   7.538 | aRT(s):   6.483  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:28:54 EST 2021 | tT(mins):  16.904 |  f: 0 | RT(s):   2.794 | aRT(s):   6.460  maxRT(s):  13.763 | minRT(s):   2.638 
Sun Nov 14 20:29:01 EST 2021 | tT(mins):  17.17  |  f: 0 | RT(s):   6.725 | aRT(s):   6.462  maxRT(s):  13.763 | minRT(s):   2.638 
